,ZIP,LAT,LONG,CITY,STATE,COUNTY,STORE_ID,STORE
0,33040,24.446667,-81.035,Key West,FL,Monroe County,0,
1,33042,24.446667,-79.785,Summerland Key,FL,Monroe County,1075,Cutler Ridge
2,78521,25.696667,-96.035,Brownsville,TX,Cameron County,2152,Brownsville North
3,34141,25.696667,-79.785,Ochopee,FL,Collier County,1512,Miramar
4,33109,25.696667,-78.535,Miami Beach,FL,Miami-Dade County,3269,South Beach
5,78067,26.946667,-98.535,San Ygnacio,TX,Zapata County,2112,Laredo East
6,78591,26.946667,-97.285,Santa Elena,TX,Starr County,2224,McAllen Northwest
7,34224,26.946667,-81.035,Englewood,FL,Charlotte County,813,Venice
8,33471,26.946667,-79.785,Moore Haven,FL,Glades County,2369,Fort Myers North
9,33408,26.946667,-78.535,North Palm Beach,FL,Palm Beach County,1941,Lake Park/Palm Beach Gardens
10,78834,28.196667,-98.535,Carrizo Springs,TX,Dimmit County,801,Laredo
11,78072,28.196667,-97.285,Tilden,TX,McMullen County,771,SW Military Drive
12,78393,28.196667,-96.035,Woodsboro,TX,Refugio County,335,Corpus Christi
13,33543,28.196667,-81.035,Wesley Chapel,FL,Pasco County,1382,New Tampa
14,34773,28.196667,-79.785,Saint Cloud,FL,Osceola County,1934,Viera
15,79852,29.446667,-102.285,Terlingua,TX,Brewster County,0,
16,78843,29.446667,-99.785,Laughlin A F B,TX,Val Verde County,0,
17,78801,29.446667,-98.535,Uvalde,TX,Uvalde County,2426,San Antonio Culebra
18,78207,29.446667,-97.285,San Antonio,TX,Bexar County,771,SW Military Drive
19,77984,29.446667,-96.035,Shiner,TX,Lavaca County,888,Victoria
20,77417,29.446667,-94.785,Beasley,TX,Fort Bend County,2205,Rosenberg
21,77590,29.446667,-93.535,Texas City,TX,Galveston County,1535,Galveston
22,70548,29.446667,-91.035,Kaplan,LA,Vermilion Parish,1473,Lafayette
23,70356,29.446667,-89.785,Gibson,LA,Terrebonne Parish,1450,Houma
24,70083,29.446667,-88.535,Port Sulphur,LA,Plaquemines Parish,1451,Harvey
25,32648,29.446667,-82.285,Horseshoe Beach,FL,Dixie County,687,Gainesville
26,32667,29.446667,-81.035,Micanopy,FL,Alachua County,687,Gainesville
27,32136,29.446667,-79.785,Flagler Beach,FL,Flagler County,2364,Palm Coast
28,79854,30.696667,-103.535,Valentine,TX,Jeff Davis County,0,
29,79734,30.696667,-102.285,Fort Davis,TX,Jeff Davis County,0,
30,76854,30.696667,-98.535,London,TX,Kimble County,254,San Angelo
31,78639,30.696667,-97.285,Kingsland,TX,Llano County,1812,Bee Cave
32,76530,30.696667,-96.035,Granger,TX,Williamson County,1982,Georgetown
33,77861,30.696667,-94.785,Iola,TX,Grimes County,2428,Bryan
34,77351,30.696667,-93.535,Livingston,TX,Polk County,953,Lufkin
35,70653,30.696667,-92.285,Merryville,LA,Beauregard Parish,1399,Lake Charles
36,70586,30.696667,-91.035,Ville Platte,LA,Evangeline Parish,167,Alexandria
37,70777,30.696667,-89.785,Slaughter,LA,East Feliciana Parish,2089,Baton Rouge East
38,39426,30.696667,-88.535,Carriere,MS,Pearl River County,1876,Covington
39,39565,30.696667,-87.285,Vancleave,MS,Jackson County,2485,D'Iberville
40,32571,30.696667,-86.035,Milton,FL,Santa Rosa County,2279,Pace
41,32455,30.696667,-84.785,Ponce De Leon,FL,Walton County,2208,Pier Park
42,32324,30.696667,-83.535,Chattahoochee,FL,Gadsden County,3273,Tallahassee FL State U
43,31643,30.696667,-82.285,Quitman,GA,Brooks County,750,Valdosta
44,31562,30.696667,-81.035,Saint George,GA,Charlton County,2233,Jacksonville West
45,85736,31.946667,-111.035,Tucson,AZ,Pima County,1316,Tucson SW
46,85629,31.946667,-109.785,Sahuarita,AZ,Pima County,1316,Tucson SW
47,85625,31.946667,-108.535,Pearce,AZ,Cochise County,735,Sierra Vista
48,88020,31.946667,-107.285,Animas,NM,Hidalgo County,735,Sierra Vista
49,88008,31.946667,-106.035,Santa Teresa,NM,Doa Ana County,822,El Paso West
50,79916,31.946667,-104.785,Fort Bliss,TX,El Paso County,849,El Paso Central
51,88252,31.946667,-102.285,Jal,NM,Lea County,1506,Odessa
52,79765,31.946667,-101.035,Odessa,TX,Ector County,1506,Odessa
53,76951,31.946667,-99.785,Sterling City,TX,Sterling County,254,San Angelo
54,79538,31.946667,-98.535,Novice,TX,Coleman County,219,Abilene
55,76442,31.946667,-97.285,Comanche,TX,Comanche County,1981,Weatherford
56,76692,31.946667,-96.035,Whitney,TX,Hill County,1531,Waco
57,75861,31.946667,-94.785,Tennessee Colony,TX,Anderson County,775,Tyler
58,75667,31.946667,-93.535,Laneville,TX,Rusk County,775,Tyler
59,71063,31.946667,-92.285,Pelican,LA,De Soto Parish,1347,Shreveport
60,71465,31.946667,-91.035,Olla,LA,La Salle Parish,167,Alexandria
61,39150,31.946667,-89.785,Port Gibson,MS,Claiborne County,754,North Jackson
62,39111,31.946667,-88.535,Magee,MS,Simpson County,1920,Flowood
63,36913,31.946667,-87.285,Melvin,AL,Choctaw County,2055,Hattiesburg
64,36726,31.946667,-86.035,Camden,AL,Wilcox County,2274,Prattville
65,36036,31.946667,-84.785,Grady,AL,Montgomery County,1825,Montgomery
66,31815,31.946667,-83.535,Lumpkin,GA,Stewart County,1179,Columbus
67,31072,31.946667,-82.285,Pitts,GA,Wilcox County,1380,Warner Robins
68,31513,31.946667,-81.035,Baxley,GA,Appling County,2301,Brunswick
69,31406,31.946667,-79.785,Savannah,GA,Chatham County,2331,Savannah East
70,90274,33.196667000000005,-117.285,Palos Verdes Peninsula,CA,Los Angeles County,3360,Rolling Hills
71,92056,33.196667000000005,-116.035,Oceanside,CA,San Diego County,303,Oceanside
72,92004,33.196667000000005,-114.785,Borrego Springs,CA,San Diego County,1816,El Centro
73,92283,33.196667000000005,-113.535,Winterhaven,CA,Imperial County,2083,Yuma
74,85333,33.196667000000005,-112.285,Dateland,AZ,Yuma County,2400,Goodyear West
75,85139,33.196667000000005,-111.035,Maricopa,AZ,Pinal County,909,Ahwatukee
76,85137,33.196667000000005,-109.785,Kearny,AZ,Pinal County,2365,Queen Creek
